_id,issue_type,priority,components
58bfca940ccb2667fe269dd7,Improvement,Minor,['server']
58bfca950ccb2667fe269dd8,Bug,Major,['c client']
58bfca970ccb2667fe269df6,Improvement,Major,['server']
58bfca980ccb2667fe269e11,New Feature,Major,['java client']
58bfca990ccb2667fe269e19,New Feature,Major,"['java client', 'c client']"
58bfca9b0ccb2667fe269e31,Improvement,Major,['java client']
58bfca9c0ccb2667fe269e4d,Sub-task,Major,['java client']
58bfcaae0ccb2667fe269edc,Bug,Minor,['java client']
58bfcaae0ccb2667fe269ee8,New Feature,Major,['server']
58bfcab20ccb2667fe269f27,Bug,Minor,"['java client', 'c client']"
58bfcaba0ccb2667fe269fd3,Task,Major,['build']
58bfcabb0ccb2667fe26a012,Improvement,Major,['server']
58bfcabc0ccb2667fe26a034,Bug,Major,['tests']
58bfcabf0ccb2667fe26a05d,Bug,Blocker,[]
58bfcac00ccb2667fe26a06f,Task,Major,['documentation']
58bfcac10ccb2667fe26a081,Task,Major,['documentation']
58bfcac30ccb2667fe26a0b0,Bug,Major,['build']
58bfcac40ccb2667fe26a0cd,Improvement,Major,['build']
